"","speaker","time","transcript"
"757","moderator",1H 30M 39S,"No. Excuse me. Vice President Biden, the biggest problem, in fact, over the years with mail-in voting has not been fraud, historically. It has been that sizable numbers, sometimes hundreds of thousands of ballots are thrown out because they have not been properly filled out, or there is some other irregularity, or they missed [crosstalk 01:06:28] the deadline. So the question I have is, are you concerned that the Supreme Court with a Justice Barrett will settle any dispute?"
"758","JB",1H 30M 66S,"I am concerned that any court would settle this, because here’s the deal. When you get a ballot and you fill it out, you’re supposed to have an affidavit. If you didn’t know, you have someone say that, this is me. You should be able to, if in fact you can verify that’s you before the ballot is thrown out, that’s sufficient to be able to count the ballot because someone made a mistake and not dotting the correct I. Who they voted for, testify, say who they voted for, say it’s you. That is totally legitimate."
"759","moderator",1H 31M 39S,"All right."
"760","DT",1H 31M 40S,"Excuse me [crosstalk 01:07:11]-"
"761","moderator",1H 31M 42S,"No. No. No. I have a final [crosstalk 00:13:12]. Gentlemen, I have a final question [crosstalk 01:07:14]-"
"762","DT",1H 31M 45S,"You know it can’t be done. You know it can’t, and already, there’s been fraud [crosstalk 01:07:19]-"
"763","JB",1H 31M 49S,"Mail service delivers [crosstalk 01:07:21] 185 million pieces of mail a day [crosstalk 01:07:24]-"
"764","moderator",1H 31M 54S,"We can keep talking. In eight states, [crosstalk 01:07:27] election workers are prohibited, currently by law, eight states, from even beginning to process ballots, even take them out of the envelopes and flatten them until election day. That means that it’s likely, because there’s going to be a huge increase in mail-in balloting, that we are not going to know on election night who the winner is, that it could be days. It could be weeks-"
"765","DT",1H 31M 80S,"Could be months-"
"766","moderator",1H 31M 80S,"… until we find out who the new president is. First for you, sir. Finally, for the vice president, and I hope neither of you will interrupt the other. Will you urge your supporters to stay calm during this extended period, not to engage in any civil unrest? And will you pledge tonight that you will not declare victory until the election has been independently certified? President Trump, you go first-"
"767","DT",1H 32M 46S,"I’m urging my supporters to go in to the polls and watch very carefully, because that’s what has to happen. I am urging them to do it. As you know, today there was a big problem. In Philadelphia, they went in to watch. They’re called poll watchers, a very safe, very nice thing. They were thrown out. They weren’t allowed to watch. You know why? Because bad things happen in Philadelphia. Bad things. And I am urging my people. I hope it’s going to be a fair election. If it’s a fair election-"
"768","moderator",1H 32M 74S,"You’re urging them what?"
"769","DT",1H 32M 75S,"… I am 100% on board. But if I see tens of thousands of ballots being manipulated, I can’t go along with that. And I’ll tell you why-"
"770","moderator",1H 32M 83S,"What does that mean, not go along-"
"771","DT",1H 32M 83S,"… from a common sense-"
"772","moderator",1H 32M 84S,"Does that mean you’re going to tell your people-"
"773","DT",1H 32M 85S,"I’ll tell you what it means-"
"774","moderator",1H 32M 85S,"… to take to the streets?"
"775","DT",1H 32M 86S,"It means you have a fraudulent election. You’re sending out 80 million ballots-"
"776","moderator",1H 33M 30S,"And what would you do about that?"
"777","DT",1H 33M 31S,"They’re not equipped… These people aren’t equipped to handle it, number one. Number two, they cheat. They cheat. Hey, they found ballots in a wastepaper basket three days ago, and they all had the name military ballots. There were military. They all had the name Trump on them."
"778","moderator",1H 33M 47S,"Vice President Biden-"
"779","DT",1H 33M 47S,"You think that’s good?"
"780","moderator",1H 33M 48S,"Vice President Biden, final question for you. Will you urge your supporters to stay calm while the vote is counted? And will you pledge not to declare victory until the election is independently certified?"
"781","JB",1H 33M 60S,"Yes. And here’s the deal. We count the ballots, as you pointed out. Some of these ballots in some states can’t even be opened until election day. And if there’s thousands of ballots, it’s going to take time to do it. And by the way, our military… They’ve been voting by ballots since the end of the Civil War, in effect. And that’s what’s going to happen. Why is it, for them, somehow not fraudulent. It’s the same process. It’s honest. No one has established at all that there is fraud related to mail-in ballots, that somehow it’s a fraudulent process."
"782","DT",1H 34M 37S,"It’s already been established. Take a look at Carolyn Maloney’s race-"
"783","moderator",1H 34M 40S,"I asked you. You had an opportunity to respond [crosstalk 01:10:13]. Go ahead [crosstalk 01:10:14]. Vice President Biden, go ahead."
"784","JB",1H 34M 45S,"He has no idea what he’s talking about. Here’s the deal. The fact is, I will accept it, and he will too. You know why? Because once the winner is declared after all the ballots are counted, all the votes are counted, that’ll be the end of it. That’ll be the end of it. And if it’s me, in fact, fine. If it’s not me, I’ll support the outcome. And I’ll be a president, not just for the Democrats. I’ll be a president for Democrats and Republicans. And this guy-"
"785","DT",1H 34M 71S,"I want to see an honest ballot cut-"
"786","moderator",1H 34M 73S,"Gentlemen, just say that’s the end of it [crosstalk 01:10:45]. This is the end of this debate-"
"787","DT",1H 34M 77S,"I want to see an honest ballot count."
"788","moderator",1H 34M 78S,"We’re going to leave it there-"
"789","DT",1H 34M 79S,"And I think he does too-"
"790","moderator",1H 34M 80S,"… to be continued in more debates as we go on. President Trump, Vice President Biden, it’s been an interesting hour and a half. I want to thank you both for participating in the first of three debates that you have agreed to engage in. We want to thank Case Western Reserve University and the Cleveland Clinic for hosting this event. The next debate, sponsored by the Commission on Presidential Debates, will be one week from tomorrow, October 7th, at the University of Utah in Salt Lake City. The two vice presidential nominees, Vice President Mike Pence and Senator Kamala Harris will debate at 9:00 PM Eastern that night. We hope you watch. Until then, thank you, and good night. Thank you."
